CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,WORKSITE_STATE,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,OVERTIME_RATE_FROM,OVERTIME_RATE_TO
0,0,39,62,1,1,intermittent,40.0,12.4,0.0,high school/ged ,0.0,0.0,0,no attorney representation,anchorage,no attorney representation,alaska,16:00:00,02:30:00,18.6,21.6
1,1,39,71,45,1,seasonal,40.0,10.86,0.0,none,0.0,1.0,0,new york,new orleans,new york,louisiana,05:00:00,13:00:00,16.29,16.29
1,1,45,11,12,1,seasonal,40.0,14.47,0.0,none,0.0,3.0,0,eugene,springfield,oregon,oregon,07:00:00,15:30:00,21.71,30.06
1,1,37,33,5,1,peakload,40.0,16.81,0.0,none,0.0,0.0,0,westbury,millstone,new york,new jersey,08:00:00,16:00:00,25.22,25.22
1,1,35,72,10,1,peakload,40.0,8.5,0.0,none,0.0,0.0,0,atlanta,gainesville,georgia,georgia,08:00:00,04:00:00,12.75,12.75
1,1,45,11,29,1,peakload,35.0,15.06,0.0,none,0.0,0.0,0,valdosta,oxford,georgia,mississippi,06:00:00,14:00:00,0.0,0.0
0,0,39,81,1,1,one-time occurrence,40.0,400.0,0.0,"other degree (jd, md, etc.)",0.0,60.0,0,no attorney representation,miami,no attorney representation,florida,09:00:00,17:00:00,0.0,0.0
1,1,45,11,100,1,seasonal,40.0,14.0,0.0,none,0.0,0.0,0,coeur d' alene,harrington,idaho,maine,08:00:00,16:00:00,21.0,22.5
0,0,37,56,2,1,seasonal,40.0,11.0,0.0,none,0.0,0.0,0,no attorney representation,medford,no attorney representation,oregon,08:00:00,16:30:00,0.0,0.0
1,1,45,42,60,1,seasonal,35.0,12.22,0.0,none,0.0,3.0,0,san diego,eddystone,california,pennsylvania,08:00:00,14:00:00,18.33,0.0
1,1,37,72,6,1,peakload,35.0,14.73,0.0,none,0.0,2.0,0,frisco,steamboat springs,texas,colorado,08:30:00,19:00:00,22.1,22.1
1,0,45,11,45,1,seasonal,40.0,24.6,0.0,none,0.0,0.0,0,no attorney representation,dublin,no attorney representation,georgia,08:00:00,16:30:00,0.0,0.0
0,1,47,23,40,1,peakload,40.0,10.0,0.0,none,0.0,0.0,1,houston,houston,texas,texas,08:00:00,17:00:00,15.0,15.0
0,0,51,81,2,1,intermittent,40.0,12.0,0.0,associate's,0.0,16.0,0,no attorney representation,chesterfield,no attorney representation,missouri,09:00:00,18:00:00,0.0,0.0
1,1,47,23,70,1,peakload,40.0,22.9,0.0,none,0.0,24.0,0,washington,ingleside,district of columbia,texas,07:00:00,17:00:00,34.35,34.35
0,0,47,23,1,1,peakload,40.0,17.6,0.0,none,0.0,0.0,0,no attorney representation,jefferson,no attorney representation,north carolina,08:00:00,16:30:00,26.4,26.4
1,1,37,56,8,1,seasonal,40.0,13.72,0.0,none,0.0,0.0,0,charlottesville,macomb,virginia,michigan,08:00:00,16:30:00,20.58,20.58
1,1,51,23,70,1,peakload,40.0,22.9,0.0,none,0.0,24.0,0,washingon,ingleside,district of columbia,texas,07:00:00,17:30:00,34.35,34.35
1,1,37,56,10,1,seasonal,40.0,13.68,0.0,none,0.0,0.0,0,salt lake city,herriman,utah,utah,08:00:00,17:00:00,0.0,0.0
1,1,37,71,15,1,peakload,35.0,16.0,0.0,none,0.0,3.0,0,denver,aspen,colorado,colorado,08:00:00,16:30:00,24.0,33.0
1,1,37,11,30,1,seasonal,40.0,11.3,0.0,none,0.0,0.0,0,hudson,eustis,new york,florida,06:00:00,14:30:00,0.0,0.0
