AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME,CASE_STATUS
1,37,72,8.0,1,seasonal,35.0,11.9,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1,1
1,33,71,1.0,1,seasonal,42.0,17.0,10.0,high school/ged ,0.0,12.0,0,different,same,8.5,1.0,1,1
1,47,56,1.0,1,peakload,19.0,19.0,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1,0
1,27,62,1.0,1,one-time occurrence,40.0,28.4,0.0,bachelor's,0.0,24.0,0,different,same,9.0,1.0,0,1
1,45,11,35.0,1,seasonal,35.0,11.96,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1,1
1,47,23,5.0,1,peakload,40.0,15.66,0.0,none,0.0,0.0,0,same,same,9.0,1.0,1,0
1,37,71,2.0,1,peakload,40.0,9.18,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1,1
1,47,23,17.0,1,peakload,40.0,15.2,0.0,none,0.0,0.0,0,different,same,8.0,1.0,0,1
1,35,72,6.0,1,seasonal,40.0,11.61,0.0,none,0.0,0.0,0,different,different,9.0,1.0,0,0
1,47,56,25.0,1,seasonal,40.0,25.97,0.0,none,0.0,12.0,0,different,different,9.0,1.0,0,0
1,39,71,9.0,1,seasonal,40.0,12.9,0.0,none,0.0,3.0,0,different,different,12.0,1.0,1,1
1,35,71,50.0,1,seasonal,35.0,9.66,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1,1
1,39,71,5.0,1,seasonal,35.0,9.23,0.0,none,0.0,0.0,0,different,different,9.0,0.0,1,1
1,37,56,6.0,1,seasonal,40.0,12.56,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1,1
0,47,23,1.0,1,one-time occurrence,40.0,19.03,0.0,none,0.0,72.0,0,no_rep,no_rep,9.0,1.0,0,0
1,11,56,1.0,1,seasonal,40.0,27.02,3.0,none,0.0,12.0,0,different,same,8.0,1.0,1,0
1,53,81,15.0,1,peakload,40.0,13.32,0.0,none,0.0,0.0,0,different,different,11.5,1.0,1,0
1,47,23,10.0,1,peakload,40.0,18.82,0.0,none,0.0,0.0,0,different,different,9.0,1.0,0,0
1,51,31,35.0,1,seasonal,48.0,13.05,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1,0
1,47,23,10.0,1,peakload,40.0,13.14,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0,1
1,47,23,9.0,1,peakload,40.0,14.96,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0,1
1,39,81,1.0,1,intermittent,40.0,10.17,0.0,high school/ged ,0.0,24.0,0,same,same,9.0,1.0,1,0
0,37,23,14.0,1,peakload,40.0,11.76,0.0,none,0.0,0.0,0,no_rep,no_rep,8.0,1.0,0,0
1,37,56,23.0,1,seasonal,40.0,11.29,0.0,none,0.0,0.0,0,different,different,12.0,1.0,1,1
1,47,23,25.0,1,peakload,40.0,14.95,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0,0
1,47,23,40.0,1,peakload,40.0,14.94,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1,0
