CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,72,15,1,peakload,35.0,11.56,0.0,none,0.0,3.0,0,different,different,13.0,0.0,1
1,1,37,56,5,1,peakload,40.0,14.24,0.0,none,0.0,3.0,0,different,different,9.75,1.0,1
1,1,37,56,26,1,seasonal,40.0,13.41,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,14,1,peakload,40.0,13.77,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,37,54,54,1,peakload,35.0,13.83,0.0,none,0.0,0.0,0,different,different,9.5,1.0,1
1,1,39,71,10,1,seasonal,40.0,14.29,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1
1,1,37,56,35,1,seasonal,40.0,14.52,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,8,1,seasonal,40.0,15.17,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,35,72,6,1,seasonal,35.0,12.37,0.0,none,0.0,3.0,0,different,different,16.0,0.0,1
1,1,37,72,4,1,seasonal,35.0,11.71,0.0,none,0.0,0.0,0,different,different,11.0,1.0,1
1,1,37,56,30,1,peakload,35.0,12.56,0.0,none,0.0,0.0,0,different,different,9.5,1.0,1
1,1,37,56,24,1,peakload,40.0,15.73,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,60,1,seasonal,40.0,16.25,0.0,none,0.0,0.0,0,different,different,10.5,1.0,1
1,1,53,33,2,1,peakload,40.0,12.44,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,37,33,7,1,seasonal,40.0,16.35,0.0,none,0.0,1.0,0,different,same,8.0,1.0,1
1,1,53,11,8,1,seasonal,35.0,14.11,0.0,none,0.0,1.0,0,different,different,8.5,1.0,1
1,1,47,56,15,1,seasonal,40.0,19.57,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,51,31,5,1,seasonal,40.0,14.5,0.0,none,0.0,24.0,0,different,different,14.0,0.0,1
1,1,37,56,22,1,peakload,35.0,13.94,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,37,72,12,1,seasonal,35.0,14.58,0.0,none,0.0,3.0,0,different,same,7.0,1.0,1
1,1,37,56,4,1,peakload,40.0,14.73,0.0,none,0.0,0.0,0,different,same,9.5,1.0,1
1,1,37,56,32,1,seasonal,40.0,15.4,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,72,4,1,seasonal,35.0,11.15,0.0,none,0.0,1.0,0,different,different,7.0,1.0,1
1,1,53,31,2,1,seasonal,40.0,12.88,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1
1,1,39,71,1,1,seasonal,40.0,15.87,0.0,none,0.0,3.0,0,different,same,10.5,1.0,1
1,1,35,72,10,1,seasonal,35.0,9.73,0.0,none,0.0,0.0,0,different,same,8.0,1.0,0
